¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2330"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
253,111C¥x¥ø¤T¥Á,569.00,1000,0,,254,111C¥x¥ø¤T¥Á,570.00,3,0 
255,111C¥x¥ø¤T¥Á,571.00,1300,0,,256,111E¥ø»È®ç¶é,566.00,18000,0 
257,111E¥ø»È®ç¶é,569.00,7010,3000,,258,111E¥ø»È®ç¶é,570.00,3110,1000 
259,111E¥ø»È®ç¶é,571.00,5385,0,,260,111E¥ø»È®ç¶é,572.00,150,0 
261,111F¥ø»È¥_°ª,566.00,1000,0,,262,111F¥ø»È¥_°ª,569.00,2200,5000 
263,111F¥ø»È¥_°ª,570.00,1053,0,,264,111F¥ø»È¥_°ª,571.00,1010,100 
265,111F¥ø»È¥_°ª,572.00,59,0,,266,111G¥ø»È®HáY,566.00,1000,0 
267,111G¥ø»È®HáY,569.00,1060,0,,268,111G¥ø»È®HáY,570.00,1310,0 
269,111G¥ø»È®HáY,571.00,1030,0,,270,111G¥ø»È®HáY,572.00,361,0 
271,111G¥ø»È®HáY,573.00,60,0,,272,1160¤é    ²±,566.00,57000,6000 
273,1160¤é    ²±,569.00,75445,100,,274,1160¤é    ²±,570.00,97188,7015 
275,1160¤é    ²±,571.00,102843,4000,,276,1160¤é    ²±,572.00,62701,4000 
277,1160¤é    ²±,573.00,9667,3002,,278,1161¤é²±©¾§µ,566.00,13000,0 
279,1161¤é²±©¾§µ,569.00,4120,0,,280,1161¤é²±©¾§µ,570.00,10203,60000 
281,1161¤é²±©¾§µ,571.00,4713,161,,282,1161¤é²±©¾§µ,572.00,1800,130 
283,1161¤é²±©¾§µ,573.00,201,60,,284,1162¤é²±¥x«n,566.00,2000,0 
285,1162¤é²±¥x«n,569.00,1000,0,,286,1162¤é²±¥x«n,570.00,12849,1000 
287,1162¤é²±¥x«n,571.00,2718,1000,,288,1162¤é²±¥x«n,572.00,6773,0 
289,1162¤é²±¥x«n,573.00,120,0,,290,1163¤é²±¥x¤¤,566.00,1000,3000 
291,1163¤é²±¥x¤¤,569.00,4110,3000,,292,1163¤é²±¥x¤¤,570.00,17780,400 
293,1163¤é²±¥x¤¤,571.00,14976,150,,294,1163¤é²±¥x¤¤,572.00,1290,0 
295,1163¤é²±¥x¤¤,573.00,710,100,,296,1164¤é²±¤º´ò,566.00,2000,4000 
297,1164¤é²±¤º´ò,569.00,3065,0,,298,1164¤é²±¤º´ò,570.00,7541,20 
299,1164¤é²±¤º´ò,571.00,3625,0,,300,1164¤é²±¤º´ò,572.00,1217,26 
301,1164¤é²±¤º´ò,573.00,27,0,,302,1165¤é²±ªO¾ô,566.00,4000,0 
303,1165¤é²±ªO¾ô,569.00,3100,0,,304,1165¤é²±ªO¾ô,570.00,17631,2000 
305,1165¤é²±ªO¾ô,571.00,13597,3000,,306,1165¤é²±ªO¾ô,572.00,1300,0 
307,1165¤é²±ªO¾ô,573.00,200,0,,308,1166¤é²±Âù©M,566.00,9000,1000 
309,1166¤é²±Âù©M,569.00,3010,0,,310,1166¤é²±Âù©M,570.00,6802,0 
311,1166¤é²±Âù©M,571.00,5346,1230,,312,1166¤é²±Âù©M,572.00,234,15 
313,1166¤é²±Âù©M,573.00,2018,5000,,314,1167¤é²±¹Å¸q,566.00,3000,0 
315,1167¤é²±¹Å¸q,569.00,1125,0,,316,1167¤é²±¹Å¸q,570.00,6970,0 
317,1167¤é²±¹Å¸q,571.00,1587,0,,318,1167¤é²±¹Å¸q,572.00,731,0 
319,1167¤é²±¹Å¸q,573.00,10,0,,320,1168¤é²±°ª¶¯,566.00,8000,0 
321,1168¤é²±°ª¶¯,569.00,1105,2000,,322,1168¤é²±°ª¶¯,570.00,12040,1000 
323,1168¤é²±°ª¶¯,571.00,3576,430,,324,1168¤é²±°ª¶¯,572.00,1531,250 
325,1168¤é²±°ª¶¯,573.00,110,180,,326,1169¤é²±¤hªL,566.00,9000,41000 
